dataset_id,module_a,module_b,mean_correlation,n_pairs
GSE282850_muscle_cell_aicar_palmitate,nad_salvage_core,nfkb_inflammation,-0.0013149637249448482,20
GSE282850_muscle_cell_aicar_palmitate,nad_salvage_core,nutrient_sensing,-0.039204047664790485,5
GSE282850_muscle_cell_aicar_palmitate,nad_salvage_core,stress_repair,0.07092066838081679,5
GSE282850_muscle_cell_aicar_palmitate,nad_de_novo,nad_salvage_core,-0.05005096315765994,15
GSE282850_muscle_cell_aicar_palmitate,nad_de_novo,nad_de_novo,0.22628054230454797,3
GSE282850_muscle_cell_aicar_palmitate,nad_de_novo,sirtuin_repair,-0.31242120595090916,9
GSE282850_muscle_cell_aicar_palmitate,nad_de_novo,oxidative_stress_repair,0.3689071733245377,9
GSE282850_muscle_cell_aicar_palmitate,nad_de_novo,nfkb_inflammation,-0.026675144872531736,12
GSE282850_muscle_cell_aicar_palmitate,nad_de_novo,nutrient_sensing,0.30953235200956986,3
GSE282850_muscle_cell_aicar_palmitate,nad_de_novo,stress_repair,-0.46489799785917646,3
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_inflammation,nad_salvage_core,-0.006403947439245439,5
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_inflammation,nad_de_novo,0.4023102302354397,3
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_inflammation,nad_consumption_inflammation,1.0,1
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_inflammation,nad_consumption_repair,-0.3841689994882882,2
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_inflammation,sirtuin_repair,-0.4223585787722766,3
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_inflammation,oxidative_stress_repair,0.5762608593110269,3
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_inflammation,nfkb_inflammation,0.02983364461140009,4
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_inflammation,nutrient_sensing,0.4113117783077411,1
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_inflammation,stress_repair,-0.527851921299494,1
